# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 20000, i.e. number of multipoles equal to 19999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   96       3.390010275622e-10       9.455103049619e-14      -2.694681519818e-12       4.054383173479e-16       1.146575925709e-11       1.531702624675e-12      -7.385459332999e-15 
   97       3.429817782250e-10       9.656679335403e-14      -2.781008445964e-12       4.139908093240e-16       1.116254515672e-11       1.498575856139e-12      -7.291178374891e-15 
   98       3.469915142806e-10       9.856962077403e-14      -2.867653154178e-12       4.226380379734e-16       1.087017342158e-11       1.466524358783e-12      -7.195280823303e-15 
   99       3.510297794808e-10       1.005576247160e-13      -2.954548239820e-12       4.313808354275e-16       1.058828386352e-11       1.435526878576e-12      -7.099227603102e-15 
  100       3.550959289533e-10       1.025288926082e-13      -3.041624899185e-12       4.402200834437e-16       1.031640079702e-11       1.405551040419e-12      -7.004584265006e-15 
  101       3.591891219115e-10       1.044814878200e-13      -3.128812941093e-12       4.491567145444e-16       1.005392920143e-11       1.376552964109e-12      -6.913023383858e-15 
  102       3.633083143647e-10       1.064134501358e-13      -3.216040798469e-12       4.581917131559e-16       9.800150883204e-12       1.348476880310e-12      -6.826326956893e-15 
  103       3.674522518278e-10       1.083227962276e-13      -3.303235539936e-12       4.673261167469e-16       9.554220638111e-12       1.321254746516e-12      -6.746388802010e-15 
  104       3.716197343689e-10       1.102075649730e-13      -3.390324196384e-12       4.765609184845e-16       9.315358001172e-12       1.294821683175e-12      -6.674764377812e-15 
  105       3.758104682312e-10       1.120659593602e-13      -3.477237919838e-12       4.858967577723e-16       9.083460262338e-12       1.269165483993e-12      -6.611245819777e-15 
  106       3.800243161977e-10       1.138962247235e-13      -3.563908410609e-12       4.953341898370e-16       8.858565491092e-12       1.244283108938e-12      -6.555097987202e-15 
  107       3.842610312808e-10       1.156966065654e-13      -3.650266678195e-12       5.048737805343e-16       8.640662675457e-12       1.220165253675e-12      -6.505491308125e-15 
  108       3.885202524250e-10       1.174653515221e-13      -3.736243067315e-12       5.145161064057e-16       8.429690033544e-12       1.196796139378e-12      -6.461499204208e-15 
  109       3.928015002093e-10       1.192007083301e-13      -3.821767283949e-12       5.242617547350e-16       8.225533325098e-12       1.174153302551e-12      -6.422095515621e-15 
  110       3.971041725502e-10       1.209009287919e-13      -3.906768421372e-12       5.341113236047e-16       8.028024163047e-12       1.152207384835e-12      -6.386151925924e-15 
  111       4.014275404042e-10       1.225642687421e-13      -3.991174986189e-12       5.440654219530e-16       7.836938325053e-12       1.130921922828e-12      -6.352435386951e-15 
  112       4.057707434702e-10       1.241889890132e-13      -4.074914924374e-12       5.541246696302e-16       7.651994065053e-12       1.110253137900e-12      -6.319605543689e-15 
  113       4.101327858924e-10       1.257733564020e-13      -4.157915647305e-12       5.642896974552e-16       7.472850424811e-12       1.090149726004e-12      -6.286212159168e-15 
  114       4.145125319627e-10       1.273156446351e-13      -4.240104057798e-12       5.745611472723e-16       7.299105545469e-12       1.070552647494e-12      -6.250692539335e-15 
  115       4.189087018237e-10       1.288141353353e-13      -4.321406576149e-12       5.849396720079e-16       7.130294979089e-12       1.051394916938e-12      -6.211368957944e-15 
  116       4.233200501548e-10       1.302671663786e-13      -4.401749748507e-12       5.954259402435e-16       6.965993611554e-12       1.032616913771e-12      -6.166818895381e-15 
  117       4.277459360668e-10       1.316732815698e-13      -4.481062100267e-12       6.060206504467e-16       6.806139099387e-12       1.014214875420e-12      -6.117042327995e-15 
  118       4.321858147484e-10       1.330311010632e-13      -4.559272557955e-12       6.167245185849e-16       6.650744769132e-12       9.961979327741e-13      -6.062432184066e-15 
  119       4.366390580321e-10       1.343392769702e-13      -4.636309917898e-12       6.275382738590e-16       6.499798760656e-12       9.785730447366e-13      -6.003414941898e-15 
  120       4.411049517142e-10       1.355964947437e-13      -4.712102877410e-12       6.384626587996e-16       6.353263254797e-12       9.613449252677e-13      -5.940451351024e-15 
  121       4.455826928758e-10       1.368014745636e-13      -4.786580065970e-12       6.494984293638e-16       6.211073701021e-12       9.445159704320e-13      -5.874037153410e-15 
  122       4.500713872031e-10       1.379529727218e-13      -4.859670076415e-12       6.606463550316e-16       6.073138045069e-12       9.280861854440e-13      -5.804703804659e-15 
  123       4.545700463077e-10       1.390497830070e-13      -4.931301496122e-12       6.719072189028e-16       5.939335956613e-12       9.120531117140e-13      -5.733019195215e-15 
  124       4.590775850475e-10       1.400907380898e-13      -5.001402938192e-12       6.832818177930e-16       5.809518056905e-12       8.964117538939e-13      -5.659588371570e-15 
  125       4.635928188472e-10       1.410747109080e-13      -5.069903072635e-12       6.947709623304e-16       5.683505146429e-12       8.811545069233e-13      -5.585054257462e-15 
  126       4.681144610185e-10       1.420006160511e-13      -5.136730657561e-12       7.063754770526e-16       5.561087432555e-12       8.662710830749e-13      -5.510098375086e-15 
  127       4.726411200807e-10       1.428674111459e-13      -5.201814570356e-12       7.180962005025e-16       5.442023757189e-12       8.517484390011e-13      -5.435441566294e-15 
  128       4.771712970817e-10       1.436740982410e-13      -5.265083838875e-12       7.299339853257e-16       5.326040824425e-12       8.375707027792e-13      -5.361844713799e-15 
  129       4.817035405656e-10       1.444197639933e-13      -5.326468479852e-12       7.418896910961e-16       5.212891999542e-12       8.237227867219e-13      -5.289956777569e-15 
  130       4.862369363900e-10       1.451037022686e-13      -5.385902051901e-12       7.539641617010e-16       5.102542639400e-12       8.102018288650e-13      -5.219838523943e-15 
  131       4.907706668291e-10       1.457253076704e-13      -5.443319442820e-12       7.661582456462e-16       4.995003728078e-12       7.970068745999e-13      -5.151387668728e-15 
  132       4.953038562064e-10       1.462840395903e-13      -5.498656124067e-12       7.784728031481e-16       4.890273785314e-12       7.841352572972e-13      -5.084486510879e-15 
  133       4.998355693430e-10       1.467794238715e-13      -5.551848187716e-12       7.909087061778e-16       4.788338520424e-12       7.715825517267e-13      -5.019001561143e-15 
  134       5.043648100065e-10       1.472110544707e-13      -5.602832383426e-12       8.034668385062e-16       4.689170486228e-12       7.593425274775e-13      -4.954783170709e-15 
