# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 20500, i.e. number of multipoles equal to 20499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.452627535334e-10       1.363178429559e-13      -4.793810591642e-12       0.000000000000e+00       6.211073701021e-12       9.445159704320e-13      -5.874037153410e-15 
  122       4.497546447779e-10       1.374614692909e-13      -4.867227037833e-12       0.000000000000e+00       6.073138045069e-12       9.280861854440e-13      -5.804703804659e-15 
  123       4.542567685941e-10       1.385501797254e-13      -4.939191540485e-12       0.000000000000e+00       5.939335956613e-12       9.120531117140e-13      -5.733019195215e-15 
  124       4.587680427448e-10       1.395827941645e-13      -5.009632561209e-12       0.000000000000e+00       5.809518056905e-12       8.964117538939e-13      -5.659588371570e-15 
  125       4.632872854504e-10       1.405581723471e-13      -5.078478606049e-12       0.000000000000e+00       5.683505146429e-12       8.811545069233e-13      -5.585054257462e-15 
  126       4.678132127062e-10       1.414752152239e-13      -5.145658256436e-12       0.000000000000e+00       5.561087432555e-12       8.662710830749e-13      -5.510098375086e-15 
  127       4.723444356011e-10       1.423328663372e-13      -5.211100200143e-12       0.000000000000e+00       5.442023757189e-12       8.517484390011e-13      -5.435441566294e-15 
  128       4.768794576345e-10       1.431301131992e-13      -5.274733262238e-12       0.000000000000e+00       5.326040824425e-12       8.375707027792e-13      -5.361844713799e-15 
  129       4.814168298927e-10       1.438660278472e-13      -5.336487248927e-12       0.000000000000e+00       5.212891999542e-12       8.237227867219e-13      -5.289956777569e-15 
  130       4.859556415192e-10       1.445398906094e-13      -5.396295518008e-12       0.000000000000e+00       5.102542639400e-12       8.102018288650e-13      -5.219838523943e-15 
  131       4.904950782314e-10       1.451510825855e-13      -5.454092750205e-12       0.000000000000e+00       4.995003728078e-12       7.970068745999e-13      -5.151387668728e-15 
  132       4.950342677480e-10       1.456990493307e-13      -5.509814197964e-12       0.000000000000e+00       4.890273785314e-12       7.841352572972e-13      -5.084486510879e-15 
  133       4.995722782365e-10       1.461833025152e-13      -5.563395722225e-12       0.000000000000e+00       4.788338520424e-12       7.715825517267e-13      -5.019001561143e-15 
  134       5.041081167605e-10       1.466034215833e-13      -5.614773829189e-12       0.000000000000e+00       4.689170486228e-12       7.593425274775e-13      -4.954783170709e-15 
  135       5.086407277275e-10       1.469590554129e-13      -5.663885707087e-12       0.000000000000e+00       4.592728732971e-12       7.474071023776e-13      -4.891665159852e-15 
  136       5.131689913356e-10       1.472499239749e-13      -5.710669262955e-12       0.000000000000e+00       4.498958462246e-12       7.357662959139e-13      -4.829464446584e-15 
  137       5.176917220215e-10       1.474758199920e-13      -5.755063159399e-12       0.000000000000e+00       4.407790680917e-12       7.244081826517e-13      -4.767980675298e-15 
  138       5.222076669077e-10       1.476366105984e-13      -5.797006851368e-12       0.000000000000e+00       4.319141855039e-12       7.133188456554e-13      -4.706995845418e-15 
  139       5.267155042497e-10       1.477322389992e-13      -5.836440622921e-12       0.000000000000e+00       4.232913563784e-12       7.024823299072e-13      -4.646273940045e-15 
  140       5.312138418836e-10       1.477627261294e-13      -5.873305624001e-12       0.000000000000e+00       4.148992153362e-12       6.918805957281e-13      -4.585560554605e-15 
  141       5.357012156736e-10       1.477281723132e-13      -5.907543907201e-12       0.000000000000e+00       4.067248390945e-12       6.814934721968e-13      -4.524582525496e-15 
  142       5.401760879592e-10       1.476287589238e-13      -5.939098464537e-12       0.000000000000e+00       3.987537118587e-12       6.712986105702e-13      -4.463047558735e-15 
  143       5.446368460023e-10       1.474647500418e-13      -5.967913264215e-12       0.000000000000e+00       3.909696907150e-12       6.612714377029e-13      -4.400643858607e-15 
  144       5.490819318193e-10       1.472365063403e-13      -5.993933762175e-12       0.000000000000e+00       3.833583940899e-12       6.513906029307e-13      -4.337112996273e-15 
  145       5.535102493780e-10       1.469445247768e-13      -6.017108415915e-12       0.000000000000e+00       3.759178166872e-12       6.416550222647e-13      -4.272477396094e-15 
  146       5.579207947800e-10       1.465894059863e-13      -6.037387390501e-12       0.000000000000e+00       3.686487001256e-12       6.320684338023e-13      -4.206834674893e-15 
  147       5.623125276908e-10       1.461718441224e-13      -6.054722136348e-12       0.000000000000e+00       3.615511890382e-12       6.226340402727e-13      -4.140286464960e-15 
  148       5.666843705427e-10       1.456926285869e-13      -6.069065428714e-12       0.000000000000e+00       3.546248161371e-12       6.133544940287e-13      -4.072938463617e-15 
  149       5.710352077367e-10       1.451526457587e-13      -6.080371407207e-12       0.000000000000e+00       3.478684872790e-12       6.042318820380e-13      -4.004900482782e-15 
