# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.356308740853e+02       4.798526383807e-04       3.138645463851e+02       4.075610106521e+00       1.386513378988e+04       1.480319960990e+01       1.298651238092e+07       1.594728022118e+02       2.117643985446e+00       2.029630480906e+00       1.099840301139e+01       3.426601706359e-08       1.464920228365e+00       1.661059774038e+01       1.808081007578e+04       1.313175330227e+00 
       9.291111595284e+02       4.854741103217e-04       3.154732420030e+02       4.030101276454e+00       1.386352509426e+04       1.490523466173e+01       1.289461940057e+07       1.601807140765e+02       2.059294655161e+00       1.987541172160e+00       1.077032445995e+01       3.426601706359e-08       1.424555976945e+00       1.624171629848e+01       1.824733444898e+04       1.311778578450e+00 
       9.226368142505e+02       4.911590612433e-04       3.170887791000e+02       3.985116893305e+00       1.386190955716e+04       1.500796562382e+01       1.280336998281e+07       1.608905947052e+02       2.002552961016e+00       1.946324603510e+00       1.054697521632e+01       3.426601706359e-08       1.385303838193e+00       1.588115665331e+01       1.841521341105e+04       1.310385271576e+00 
       9.162075226813e+02       4.969081844658e-04       3.187111801168e+02       3.940650673304e+00       1.386028715615e+04       1.511139716302e+01       1.271275964614e+07       1.616024424188e+02       1.947374613159e+00       1.905962680376e+00       1.032825722744e+01       3.426601706359e-08       1.347133173767e+00       1.552872772901e+01       1.858445659002e+04       1.308995424651e+00 
       9.098229714440e+02       5.027221807024e-04       3.203404675596e+02       3.896696411268e+00       1.385865786870e+04       1.521553397663e+01       1.262278394020e+07       1.623162555007e+02       1.893716541796e+00       1.866437683283e+00       1.011407447292e+01       3.426601706359e-08       1.310014189322e+00       1.518424292159e+01       1.875507367674e+04       1.307609052505e+00 
       9.034828493402e+02       5.086017581380e-04       3.219766640007e+02       3.853247979577e+00       1.385702167226e+04       1.532038079260e+01       1.253343844550e+07       1.630320321972e+02       1.841536863588e+00       1.827732260087e+00       9.904332922903e+00       3.426601706359e-08       1.273917911269e+00       1.484751999211e+01       1.892707442530e+04       1.306226169755e+00 
       8.971868473348e+02       5.145476325076e-04       3.236197920784e+02       3.810299327161e+00       1.385537854419e+04       1.542594236967e+01       1.244471877323e+07       1.637497707175e+02       1.790794848967e+00       1.789829418364e+00       9.698940496809e+00       3.426601706359e-08       1.238816164159e+00       1.451838096256e+01       1.910046865345e+04       1.304846790803e+00 
       8.909346585410e+02       5.205605271760e-04       3.252698744975e+02       3.767844478508e+00       1.385372846177e+04       1.553222349766e+01       1.235662056507e+07       1.644694692340e+02       1.741450890360e+00       1.752712517950e+00       9.497807022946e+00       3.426601706359e-08       1.204681548705e+00       1.419665201423e+01       1.927526624313e+04       1.303470929839e+00 
       8.847259782050e+02       5.266411732183e-04       3.269269340299e+02       3.725877532679e+00       1.385207140223e+04       1.563922899756e+01       1.226913949291e+07       1.651911258821e+02       1.693466471282e+00       1.716365263643e+00       9.300844198933e+00       3.426601706359e-08       1.171487420402e+00       1.388216338853e+01       1.945147714082e+04       1.302098600839e+00 
       8.785605036917e+02       5.327903095016e-04       3.285909935147e+02       3.684392662338e+00       1.385040734275e+04       1.574696372179e+01       1.218227125872e+07       1.659147387607e+02       1.646804136282e+00       1.680771698051e+00       9.107965552954e+00       3.426601706359e-08       1.139207868733e+00       1.357474929029e+01       1.962911135807e+04       1.300729817565e+00 
